Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2021-04-01,01:08,Thursday,PIONEER VILLAGE STATIO,MUATC,3,10,S,YU,5561
2021-04-01,01:15,Thursday,SHEPPARD WEST STATION,SUUT,0,0,S,YU,5691
2021-04-01,02:01,Thursday,UNION STATION,MUIS,0,0,,YU,0
2021-04-01,02:29,Thursday,FINCH WEST STATION,SUDP,0,0,,YU,0
2021-04-01,05:03,Thursday,KEELE YARD,SUG,5,10,W,BD,5303
2021-04-01,05:57,Thursday,DAVISVILLE BUILD UP,PUTOE,0,0,N,YU,0
2021-04-01,06:02,Thursday,GREENWOOD STATION,EUYRD,5,10,E,BD,5315
2021-04-01,06:05,Thursday,DAVISVILLE STATION,PUCSC,6,9,S,YU,5611
2021-04-01,07:54,Thursday,ST CLAIR WEST STATION,SUDP,0,0,S,YU,5826
2021-04-01,08:14,Thursday,BAY STATION,PUSRA,9,13,W,BD,5295
2021-04-01,08:35,Thursday,SHEPPARD STATION,PUEO,3,6,S,YU,6041
2021-04-01,09:44,Thursday,DAVISVILLE STATION,PUCSC,3,6,S,YU,5751
2021-04-01,09:50,Thursday,COLLEGE STATION,MUIS,0,0,,YU,0
2021-04-01,10:09,Thursday,DUFFERIN STATION,SUDP,11,15,W,BD,5173
2021-04-01,10:37,Thursday,KIPLING STATION,MUI,6,11,E,BD,5002
2021-04-01,12:12,Thursday,PAPE STATION,SUDP,0,0,,BD,0
2021-04-01,12:59,Thursday,YORK MILLS STATION,EUSC,0,0,N,YU,5726
2021-04-01,13:31,Thursday,DUNDAS STATION,MUIRS,0,0,,YU,0
2021-04-01,14:01,Thursday,LAWRENCE STATION,SUO,0,0,,YU,0
2021-04-01,14:19,Thursday,RUNNYMEDE STATION,SUO,4,8,W,BD,5338
2021-04-01,15:32,Thursday,VICTORIA PARK STATION,MUPLB,32,36,W,BD,5074
2021-04-01,15:51,Thursday,LAWRENCE STATION,MUPAA,0,0,N,YU,5976
2021-04-01,16:08,Thursday,YORK MILLS STATION,MUTO,3,6,S,YU,5566
2021-04-01,16:27,Thursday,BLOOR STATION,MUIS,0,0,S,YU,0
2021-04-01,16:53,Thursday,PAPE STATION,SUDP,11,15,E,BD,5320
2021-04-01,17:51,Thursday,FINCH STATION,TUNIP,3,6,S,YU,5701
2021-04-01,19:13,Thursday,SHEPPARD WEST STATION,SUAP,0,0,N,YU,0
2021-04-01,19:36,Thursday,MCCOWAN STATION,MRPAA,0,0,S,SRT,3002
2021-04-01,19:47,Thursday,LAWRENCE EAST STATION,SRDP,18,23,S,SRT,3002
2021-04-01,20:04,Thursday,EGLINTON WEST STATION,SUAP,4,9,N,YU,6026
2021-04-01,20:12,Thursday,WELLESLEY STATION,MUIS,0,0,,YU,0
2021-04-01,20:40,Thursday,MAIN STREET STATION,MUPLC,0,0,,BD,0
2021-04-01,20:53,Thursday,BATHURST STATION,SUO,0,0,,BD,0
2021-04-01,21:07,Thursday,DON MILLS STATION,SUO,7,12,W,SHP,6196
2021-04-01,21:22,Thursday,RUNNYMEDE STATION,SUAP,0,0,W,BD,0
2021-04-01,22:00,Thursday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2021-04-01,22:16,Thursday,GLENCAIRN STATION,SUDP,0,0,S,YU,5636
2021-04-01,22:26,Thursday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6191
2021-04-01,22:34,Thursday,VAUGHAN MC STATION,MUATC,3,10,S,YU,5561
2021-04-01,23:00,Thursday,SHEPPARD STATION,MUO,0,0,,YU,0
2021-04-02,00:01,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,0
2021-04-02,00:03,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,5771
2021-04-02,00:08,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,5556
2021-04-02,00:11,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,5606
2021-04-02,00:31,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,6121
2021-04-02,00:39,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,5611
2021-04-02,00:42,Friday,YORK MILLS STATION,MUSC,0,0,S,YU,5881
