Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2021-12-01,06:06,Wednesday,MCCOWAN STATION,ERCO,5,10,S,SRT,3022
2021-12-01,03:40,Wednesday,SHEPPARD STATION,PUTOE,0,0,N,YU,34
2021-12-01,14:34,Wednesday,KENNEDY SRT STATION,MRTO,14,21,N,SRT,3004
2021-12-01,03:46,Wednesday,NORTH YORK CTR STATION,PUTOE,0,0,N,YU,34
2021-12-01,05:43,Wednesday,EGLINTON STATION,MUATC,5,10,N,YU,5691
2021-12-01,22:00,Wednesday,KENNEDY SRT STATION TO,MRO,0,0,,SRT,0
2021-12-01,06:50,Wednesday,ST GEORGE YUS STATION,TUO,3,6,N,YU,5696
2021-12-01,06:54,Wednesday,DOWNSVIEW PARK STATION,MUO,0,0,,YU,0
2021-12-01,07:09,Wednesday,BROADVIEW STATION,MUTO,4,8,W,BD,5268
2021-12-01,07:21,Wednesday,BAY STATION,SUDP,0,0,W,BD,5119
2021-12-01,07:33,Wednesday,JANE STATION,MUPAA,0,0,W,BD,5268
2021-12-01,07:54,Wednesday,MUSEUM STATION,TUO,6,9,S,YU,5446
2021-12-01,08:18,Wednesday,EGLINTON STATION (APPR,MUATC,4,7,S,YU,5476
2021-12-01,08:45,Wednesday,DUFFERIN STATION,MUPAA,0,0,E,BD,5259
2021-12-01,09:27,Wednesday,FINCH STATION,MUTO,3,6,S,YU,5716
2021-12-01,10:29,Wednesday,WELLESLEY STATION,MUIS,0,0,,YU,0
2021-12-01,10:35,Wednesday,MUSEUM STATION,MUATC,0,0,S,YU,5446
2021-12-01,10:48,Wednesday,GREENWOOD SHOP,MUIE,0,0,,BD,0
2021-12-01,11:00,Wednesday,EGLINTON STATION,MUATC,3,6,S,YU,5461
2021-12-01,11:10,Wednesday,BLOOR STATION,MUIS,0,0,N,YU,0
2021-12-01,11:55,Wednesday,KENNEDY BD STATION,MUPAA,0,0,W,BD,5268
2021-12-01,12:19,Wednesday,EGLINTON STATION,MUIS,0,0,,YU,0
2021-12-01,12:31,Wednesday,EGLINTON STATION,MUIS,0,0,,YU,0
2021-12-01,12:45,Wednesday,COLLEGE STATION,SUDP,3,6,N,YU,5386
2021-12-01,13:25,Wednesday,KENNEDY BD STATION,MUTO,4,8,W,BD,5197
2021-12-01,13:37,Wednesday,YONGE BD STATION,SUDP,0,0,W,BD,5197
2021-12-01,14:17,Wednesday,FINCH STATION,SUEAS,10,13,N,YU,6101
2021-12-01,14:30,Wednesday,VAUGHAN MC STATION,SUDP,0,0,,YU,0
2021-12-01,15:00,Wednesday,HIGH PARK STATION,SUDP,18,22,E,BD,5076
2021-12-01,15:40,Wednesday,YORK MILLS STATION,PUMEL,0,0,,YU,0
2021-12-01,15:48,Wednesday,QUEEN STATION,MUIS,0,0,S,YU,0
2021-12-01,16:17,Wednesday,KENNEDY BD STATION,SUO,4,8,W,BD,5371
2021-12-01,16:31,Wednesday,SHEPPARD STATION,MUSC,0,0,N,YU,5486
2021-12-01,16:32,Wednesday,FINCH STATION,MUIR,3,6,S,YU,5646
2021-12-01,16:54,Wednesday,DUFFERIN STATION,SUUT,4,8,W,BD,5059
2021-12-01,17:03,Wednesday,LAWRENCE WEST STATION,SUUT,15,18,N,YU,5961
2021-12-01,17:04,Wednesday,KIPLING STATION,SUDP,4,8,E,BD,5079
2021-12-01,17:14,Wednesday,CASTLE FRANK STATION,SUDP,6,10,E,BD,5014
2021-12-01,17:21,Wednesday,BROADVIEW STATION,SUDP,6,10,E,BD,5014
2021-12-01,17:26,Wednesday,ST GEORGE BD STATION,TUO,4,8,E,BD,5231
2021-12-01,20:15,Wednesday,EGLINTON STATION,MUATC,3,6,S,YU,5726
2021-12-01,20:53,Wednesday,KENNEDY BD STATION,SUUT,13,20,E,BD,5059
2021-12-01,21:11,Wednesday,ST GEORGE YUS STATION,SUDP,0,0,N,YU,6016
2021-12-01,21:19,Wednesday,YORKDALE STATION,TUO,11,16,S,YU,5446
2021-12-01,21:42,Wednesday,MUSEUM STATION,TUO,0,0,S,YU,5446
2021-12-01,21:48,Wednesday,VICTORIA PARK STATION,MUI,25,32,E,BD,5252
2021-12-01,22:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2021-12-01,22:00,Wednesday,OLD MILL STATION,MUIRS,5,12,E,BD,5259
2021-12-01,22:07,Wednesday,SUMMERHILL STATION,MUATC,3,8,N,YU,5486
2021-12-01,22:07,Wednesday,VAUGHAN MC STATION,PUOPO,0,0,S,YU,6096
2021-12-01,22:08,Wednesday,HIGHWAY 407 STATION,PUOPO,5,10,S,YU,6096
2021-12-01,22:49,Wednesday,COLLEGE STATION,SUDP,12,17,N,YU,5711
2021-12-01,23:40,Wednesday,KENNEDY BD STATION,MUIS,0,0,E,BD,0
2021-12-01,00:10,Wednesday,EGLINTON WEST STATION,TUO,4,9,S,YU,5466
2021-12-01,00:14,Wednesday,LAWRENCE WEST STATION,PUOPO,0,0,S,YU,5486
2021-12-01,00:22,Wednesday,YORKDALE STATION,MUSAN,5,10,S,YU,5691
2021-12-01,00:31,Wednesday,DONLANDS STATION,SUDP,8,15,W,BD,5059
2021-12-01,00:34,Wednesday,YONGE AND BLOOR,MUIS,0,0,N,YU,0
2021-12-01,01:20,Wednesday,ST PATRICK STATION,MUIS,0,0,,YU,0
2021-12-01,01:31,Wednesday,FINCH STATION,MUSC,0,0,S,YU,5696
2021-12-01,01:55,Wednesday,OSGOODE STATION,MUIS,0,0,,YU,0
2021-12-01,19:24,Wednesday,LESLIE STATION,TUSC,0,0,W,SHP,6171
2021-12-01,19:45,Wednesday,DON MILLS STATION,PUSO,6,11,E,SHP,6181
2021-12-01,00:11,Wednesday,SHEPPARD STATION,MUIS,0,0,,SHP,0
2021-12-02,17:43,Thursday,SCARBOROUGH CTR STATIO,SRDP,0,0,N,SRT,3019
2021-12-02,02:26,Thursday,VAUGHAN MC STATION,MUIS,0,0,,YU,0
2021-12-02,02:40,Thursday,FINCH STATION,MUIS,0,0,,YU,0
2021-12-02,19:18,Thursday,KENNEDY SRT STATION,MRTO,15,20,N,SRT,3027
2021-12-02,05:41,Thursday,EGLINTON STATION,MUATC,3,0,N,YU,5486
2021-12-02,22:00,Thursday,KENNEDY SRT TO LAWREN,MRO,0,0,,SRT,0
2021-12-02,05:42,Thursday,YORK MILLS STATION,MUATC,3,0,N,YU,5891
2021-12-02,06:22,Thursday,OSSINGTON STATION,EUNT,3,8,E,BD,5275
2021-12-02,06:50,Thursday,DUPONT STATION,PUOPO,7,10,S,YU,5981
2021-12-02,06:59,Thursday,SPADINA YUS STATION,PUOPO,3,13,S,YU,5981
2021-12-02,09:14,Thursday,YORK MILLS STATION,EUSC,0,0,N,YU,5506
2021-12-02,09:38,Thursday,DUFFERIN STATION,TUOS,4,8,W,BD,5211
2021-12-02,09:44,Thursday,LANSDOWNE STATION,TUO,3,7,W,BD,0
2021-12-02,09:45,Thursday,SHEPPARD WEST STATION,PUOPO,3,6,S,YU,5741
2021-12-02,09:48,Thursday,NORTH YORK CTR STATION,SUDP,3,6,S,YU,5606
2021-12-02,09:51,Thursday,WILSON STATION,PUOPO,3,6,S,YU,5741
2021-12-02,10:53,Thursday,YORKDALE STATION,PUOPO,0,0,N,YU,5511
2021-12-02,11:07,Thursday,ISLINGTON STATION,PUSRA,116,120,W,BD,5197
2021-12-02,11:46,Thursday,KEELE STATION,TUKEY,3,7,E,BD,5079
2021-12-02,11:48,Thursday,SPADINA BD STATION,SUDP,3,7,W,BD,5016
2021-12-02,11:51,Thursday,ST GEORGE BD STATION,MUPAA,0,0,W,BD,5083
2021-12-02,13:01,Thursday,WARDEN STATION,SUDP,4,8,E,BD,5040
2021-12-02,13:08,Thursday,ISLINGTON STATION,MUIS,0,0,W,BD,0
2021-12-02,13:27,Thursday,WILSON STATION,MUIS,0,0,,YU,0
2021-12-02,13:35,Thursday,COLLEGE STATION,SUAP,0,0,,YU,0
2021-12-02,14:08,Thursday,ISLINGTON STATION,SUUT,9,13,W,BD,5059
2021-12-02,14:09,Thursday,ST CLAIR STATION,MUATC,9,12,N,YU,6056
2021-12-02,15:18,Thursday,SHERBOURNE STATION,SUDP,0,0,W,BD,5024
2021-12-02,15:23,Thursday,BATHURST STATION,SUDP,3,7,E,BD,5162
2021-12-02,15:25,Thursday,SPADINA BD STATION,SUDP,5,9,E,BD,5162
2021-12-02,15:34,Thursday,ST CLAIR STATION,MUATC,6,9,N,YU,6026
2021-12-02,16:38,Thursday,ROSEDALE STATION,MUATC,3,6,S,YU,5491
2021-12-02,17:44,Thursday,SHEPPARD STATION,SUAP,6,9,N,YU,5881
2021-12-02,18:10,Thursday,FINCH STATION,SUDP,3,6,S,YU,5461
2021-12-02,18:43,Thursday,WELLESLEY STATION,SUAP,0,0,N,YU,0
2021-12-02,18:44,Thursday,YONGE BD STATION,MUIRS,0,0,,BD,0
2021-12-02,18:44,Thursday,YORK MILLS STATION,MUPAA,3,6,N,YU,5396
2021-12-02,19:02,Thursday,ST CLAIR STATION,SUDP,30,33,S,YU,6011
2021-12-02,19:18,Thursday,NORTH YORK CTR STATION,TUMVS,3,6,S,YU,6046
2021-12-02,19:25,Thursday,ST GEORGE YUS STATION,MUIS,0,0,N,YU,6111
2021-12-02,19:41,Thursday,EGLINTON STATION,MUIR,4,7,N,YU,5486
2021-12-02,19:52,Thursday,ISLINGTON STATION,MUIS,0,0,,BD,0
2021-12-02,20:03,Thursday,YORKDALE STATION,PUOPO,0,0,N,YU,5526
2021-12-02,21:01,Thursday,ROYAL YORK STATION,MUIS,0,0,E,BD,5229
2021-12-02,21:10,Thursday,DUNDAS STATION,SUDP,0,0,S,YU,5886
2021-12-02,21:33,Thursday,YORKDALE STATION,MUO,0,0,N,YU,5851
2021-12-02,21:43,Thursday,BROADVIEW STATION,MUIS,0,0,,BD,0
2021-12-02,21:44,Thursday,OSGOODE STATION,MUIS,0,0,,YU,0
2021-12-02,22:00,Thursday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2021-12-02,22:43,Thursday,JANE STATION,MUPAA,0,0,W,BD,5059
2021-12-02,23:14,Thursday,EGLINTON STATION,MUATC,7,12,S,YU,5616
2021-12-02,01:03,Thursday,DUNDAS STATION,SUUT,4,9,N,YU,5486
2021-12-02,01:36,Thursday,WARDEN STATION,MUIS,0,0,,BD,0
2021-12-03,15:42,Friday,KENNEDY SRT STATION,MRTO,40,45,N,SRT,3005
2021-12-03,02:43,Friday,PIONEER VILLAGE STATIO,MUIS,0,0,,YU,0
2021-12-03,06:08,Friday,DAVISVILLE YARD,MUATC,3,6,N,YU,5396
2021-12-03,22:00,Friday,LAWRENCE EAST TO KENNE,MRO,0,0,,SRT,0
2021-12-03,06:46,Friday,DAVISVILLE STATION,MUIR,4,6,N,YU,5586
2021-12-03,07:08,Friday,LAWRENCE WEST STATION,PUOPO,0,0,S,YU,5981
2021-12-03,07:31,Friday,COXWELL STATION,SUDP,4,8,W,BD,5140
2021-12-03,07:51,Friday,EGLINTON STATION,EUSC,0,0,N,YU,6981
2021-12-03,08:15,Friday,EGLINTON STATION,MUATC,7,10,S,YU,5451
2021-12-03,08:57,Friday,SPADINA YUS STATION,MUPAA,0,0,S,YU,5651
2021-12-03,09:53,Friday,LAWRENCE WEST STATION,PUOPO,0,0,S,YU,5981
2021-12-03,09:56,Friday,GLENCAIRN STATION,PUOPO,3,6,S,YU,5981
2021-12-03,10:17,Friday,JANE STATION,MUI,7,11,E,BD,5276
2021-12-03,11:04,Friday,ST GEORGE YUS STATION,PUOPO,0,0,N,YU,5606
2021-12-03,11:21,Friday,FINCH STATION,MUTO,3,6,S,YU,5626
2021-12-03,11:34,Friday,EGLINTON STATION (MIGR,MUATC,8,11,S,YU,5406
2021-12-03,12:26,Friday,EGLINTON STATION,TUMVS,3,6,S,YU,6076
2021-12-03,12:45,Friday,VICTORIA PARK STATION,MUIRS,0,0,,BD,0
2021-12-03,12:46,Friday,UNION STATION,MUIRS,0,0,,YU,0
2021-12-03,12:57,Friday,PAPE STATION,MUIS,0,0,E,BD,0
2021-12-03,13:10,Friday,WELLESLEY STATION,SUDP,0,0,N,YU,0
2021-12-03,13:12,Friday,VAUGHAN MC STATION,MUIR,3,6,S,YU,6116
2021-12-03,13:15,Friday,DAVISVILLE STATION,SUDP,10,13,S,YU,6121
2021-12-03,13:16,Friday,RUNNYMEDE STATION,PUMEL,0,0,,BD,0
2021-12-03,13:55,Friday,ROSEDALE STATION,SUDP,6,9,N,YU,5496
2021-12-03,15:30,Friday,CHRISTIE STATION,MUIS,0,0,E,BD,0
2021-12-03,16:09,Friday,ISLINGTON STATION,MUIS,0,0,,BD,0
2021-12-03,16:18,Friday,VICTORIA PARK STATION,SUAP,0,0,,BD,0
2021-12-03,16:25,Friday,JANE STATION,PUMST,0,0,,BD,0
2021-12-03,16:29,Friday,CHRISTIE STATION,SUDP,0,0,E,BD,5234
2021-12-03,17:00,Friday,KEELE STATION,SUDP,0,0,W,BD,5104
2021-12-03,17:15,Friday,ST CLAIR WEST STATION,MUPAA,0,0,S,YU,5546
2021-12-03,17:47,Friday,DUFFERIN STATION,MUPAA,0,0,W,BD,5213
2021-12-03,17:47,Friday,BLOOR STATION,PUMEL,0,0,,YU,0
2021-12-03,18:25,Friday,SHERBOURNE STATION,SUDP,0,0,E,BD,5131
2021-12-03,18:27,Friday,DUNDAS STATION,SUUT,6,9,S,YU,6111
2021-12-03,18:41,Friday,UNION STATION,PUSAC,8,11,S,YU,6011
2021-12-03,18:53,Friday,WELLESLEY STATION,MUPAA,3,6,S,YU,5761
2021-12-03,18:56,Friday,KIPLING STATION,MUIRS,0,0,,BD,0
2021-12-03,19:01,Friday,WELLESLEY STATION,SUDP,0,0,S,YU,5761
2021-12-03,19:10,Friday,ST GEORGE YUS STATION,MUPAA,0,0,N,YU,5426
2021-12-03,19:12,Friday,COLLEGE STATION,SUDP,0,0,S,YU,5761
2021-12-03,19:45,Friday,FINCH WEST STATION,PUOPO,0,0,N,YU,5656
2021-12-03,19:54,Friday,PAPE STATION,SUUT,0,0,E,BD,5211
2021-12-03,19:54,Friday,QUEEN'S PARK STATION,SUDP,0,0,S,YU,5951
2021-12-03,19:54,Friday,WILSON STATION,MUIS,0,0,,YU,0
2021-12-03,20:44,Friday,ST CLAIR WEST STATION,MUIRS,0,0,S,YU,5766
2021-12-03,21:02,Friday,UNION STATION,PUSAC,0,0,S,YU,0
2021-12-03,21:09,Friday,EGLINTON STATION (MIGR,MUATC,3,6,S,YU,6111
2021-12-03,21:14,Friday,DAVISVILLE STATION,MUIR,5,10,N,YU,5762
2021-12-03,21:36,Friday,OSSINGTON STATION,MUIR,6,13,W,BD,5171
2021-12-03,22:00,Friday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2021-12-03,22:16,Friday,PAPE STATION,MUO,0,0,E,BD,5318
2021-12-03,22:51,Friday,VICTORIA PARK STATION,MUIS,0,0,,BD,0
2021-12-03,01:13,Friday,KENNEDY BD STATION,SUO,0,0,,BD,0
2021-12-03,01:16,Friday,JANE STATION,SUO,0,0,,BD,0
2021-12-03,01:39,Friday,VAUGHAN MC STATION,MUIRS,0,0,,YU,0
2021-12-03,01:52,Friday,HIGH PARK STATION,MUIRS,0,0,W,BD,0
2021-12-03,01:56,Friday,FINCH STATION,MUIRS,0,0,,YU,0
2021-12-03,01:59,Friday,SHERBOURNE STATION,SUDP,0,0,,BD,0
2021-12-03,15:34,Friday,LESLIE STATION,PUOPO,0,0,W,SHP,6161
2021-12-03,15:41,Friday,LESLIE STATION,PUOPO,7,12,E,SHP,6181
2021-12-03,15:49,Friday,LESLIE STATION,PUOPO,0,0,E,SHP,6151
2021-12-03,16:38,Friday,LESLIE STATION,TUSC,0,0,W,SHP,6156
2021-12-04,02:11,Saturday,FINCH STATION,SUDP,0,0,,YU,0
2021-12-04,10:39,Saturday,KENNEDY SRT STATION,MRTO,7,12,N,SRT,3027
2021-12-04,22:00,Saturday,KENNEDY SRT STATION TO,MRO,0,0,,SRT,0
2021-12-04,02:39,Saturday,KIPLING STATION,SUDP,0,0,,BD,0
2021-12-04,04:35,Saturday,BATHURST STATION,MUNCA,0,0,,BD,0
2021-12-04,06:13,Saturday,BLOOR STATION,SUDP,0,0,,YU,0
2021-12-04,06:28,Saturday,ST ANDREW STATION,MUATC,7,13,N,YU,5751
2021-12-04,06:45,Saturday,HIGH PARK STATION,PUTDN,4,10,E,BD,5359
2021-12-04,06:51,Saturday,HIGH PARK STATION,SUUT,5,11,E,BD,5122
