Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2021-05-01,01:07,Saturday,YONGE BD STATION,SUAP,0,0,W,BD,5170
2021-05-01,01:14,Saturday,BLOOR STATION,SUO,0,0,S,YU,5506
2021-05-01,06:00,Saturday,SHEPPARD WEST - WILSON,MUO,0,0,,YU,0
2021-05-01,09:04,Saturday,DON MILLS STATION,MUIR,5,10,W,SHP,5141
2021-05-01,09:04,Saturday,YONGE BD STATION,SUEAS,13,18,W,BD,5106
2021-05-01,10:17,Saturday,KENNEDY BD STATION,MUTO,9,15,W,BD,5140
2021-05-01,11:14,Saturday,KENNEDY BD STATION,MUSAN,3,7,W,BD,5069
2021-05-01,11:30,Saturday,CHESTER STATION,MUI,23,28,E,BD,5355
2021-05-01,13:31,Saturday,BAY STATION,MUIS,0,0,E,BD,0
2021-05-01,14:18,Saturday,SHEPPARD WEST STATION,MUATC,5,10,N,YU,5741
2021-05-01,17:45,Saturday,ST CLAIR WEST STATION,SUAP,15,20,N,YU,6051
2021-05-01,17:55,Saturday,SPADINA BD STATION,SUUT,31,35,E,BD,5074
2021-05-01,17:59,Saturday,ST CLAIR WEST STATION,SUDP,0,0,,YU,0
2021-05-01,18:37,Saturday,VICTORIA PARK STATION,MUI,6,11,E,BD,5140
2021-05-01,19:32,Saturday,DUNDAS STATION,MUIRS,0,0,N,YU,5656
2021-05-01,20:54,Saturday,KIPLING STATION,TUMVS,0,0,W,BD,5059
2021-05-01,21:04,Saturday,DON MILLS STATION,MUIS,0,0,,SHP,0
2021-05-01,21:36,Saturday,EGLINTON STATION,MUIS,0,0,,YU,0
2021-05-01,21:39,Saturday,BATHURST STATION,SUDP,0,0,W,BD,5040
2021-05-01,22:00,Saturday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2021-05-01,23:01,Saturday,VICTORIA PARK STATION,MUIRS,0,0,,BD,0
2021-05-01,23:40,Saturday,LAWRENCE STATION,MUIS,0,0,N,YU,0
2021-05-01,23:57,Saturday,DON MILLS STATION,TUMVS,0,0,E,SHP,6146
2021-05-01,23:59,Saturday,EGLINTON STATION,MUSAN,5,10,S,YU,6051
2021-05-02,00:16,Sunday,ST CLAIR WEST STATION,MUIR,0,0,N,YU,5821
2021-05-02,00:39,Sunday,EGLINTON STATION,TUMVS,3,8,N,YU,5766
2021-05-02,01:42,Sunday,WILSON STATION,MUI,0,0,N,YU,5821
2021-05-02,02:31,Sunday,WELLESLEY STATION,SUUT,0,0,,YU,0
2021-05-02,07:19,Sunday,FINCH STATION,MUIS,0,0,,36 FINCH WEST,3640
2021-05-02,08:00,Sunday,YONGE UNIVERSITY SUBWA,MUO,0,0,B,YU,0
2021-05-02,08:09,Sunday,KIPLING STATION,EUBK,9,13,E,BD,5004
2021-05-02,08:17,Sunday,WILSON STATION,MUO,0,0,,YU,0
2021-05-02,08:30,Sunday,WILSON STATION,MUATC,7,12,S,YU,6136
2021-05-02,09:02,Sunday,DAVISVILLE STATION,MUPLB,17,22,N,YU,5626
2021-05-02,12:35,Sunday,COXWELL STATION,MUPAA,0,0,W,BD,5178
2021-05-02,13:23,Sunday,KIPLING STATION,MUIRS,0,0,,BD,0
2021-05-02,13:50,Sunday,OSSINGTON STATION,MUIS,0,0,,BD,0
2021-05-02,14:59,Sunday,HIGH PARK STATION,SUDP,4,9,E,BD,5212
2021-05-02,15:22,Sunday,OSSINGTON STATION,MUPLB,31,35,W,BD,5148
2021-05-02,16:24,Sunday,WELLESLEY STATION,SUROB,0,0,N,YU,0
2021-05-02,16:25,Sunday,FINCH STATION,MUIS,0,0,,YU,0
2021-05-02,16:27,Sunday,BLOOR STATION,SUAP,5,10,N,YU,5756
2021-05-02,16:41,Sunday,KIPLING STATION,SUAP,0,0,,BD,0
2021-05-02,18:13,Sunday,KENNEDY BD STATION,SUAP,0,0,,BD,0
2021-05-02,18:20,Sunday,BLOOR STATION,SUUT,8,12,S,YU,6021
2021-05-02,18:24,Sunday,FINCH STATION,SUO,0,0,,YU,0
2021-05-02,18:29,Sunday,GREENWOOD STATION,MUNCA,0,0,,BD,0
2021-05-02,19:05,Sunday,CASTLE FRANK STATION,EUDO,13,18,E,BD,5193
2021-05-02,19:23,Sunday,EGLINTON STATION,MUPAA,0,0,S,YU,5821
2021-05-02,19:37,Sunday,CHRISTIE STATION,MUIS,0,0,W,BD,0
2021-05-02,19:41,Sunday,DUNDAS STATION,SUUT,6,11,S,YU,5741
2021-05-02,20:36,Sunday,DUNDAS STATION,SUDP,0,0,N,YU,5561
2021-05-02,20:50,Sunday,KIPLING STATION,SUDP,4,8,E,BD,5325
2021-05-02,21:21,Sunday,YORK MILLS STATION,EUOE,0,0,S,YU,6196
2021-05-02,21:56,Sunday,UNION STATION,SUO,0,0,,YU,0
2021-05-02,22:00,Sunday,YONGE- UNIVERSITY SUBW,MUO,0,0,,YU/BD,0
2021-05-02,22:29,Sunday,ST ANDREW STATION,MUSAN,5,10,N,YU,5621
2021-05-02,23:58,Sunday,FINCH STATION,SUO,5,10,S,YU,5781
2021-05-03,01:03,Monday,WILSON YARD,MUIE,0,0,,YU,0
2021-05-03,01:20,Monday,FINCH STATION,TUO,3,10,S,YU,5806
2021-05-03,02:03,Monday,LESLIE STATION,MUIRS,0,0,,SHP,0
2021-05-03,02:04,Monday,VICTORIA PARK STATION,SUUT,14,18,E,BD,5201
2021-05-03,02:08,Monday,WARDEN STATION,TUCC,0,0,W,BD,5089
2021-05-03,05:48,Monday,MIDLAND STATION,ERCO,25,30,S,SRT,3013
2021-05-03,06:00,Monday,YONGE UNIVERSITY SUBWA,MUO,0,0,,YU,0
2021-05-03,06:04,Monday,MUSEUM STATION,MUATC,4,8,S,YU,5971
2021-05-03,06:27,Monday,KEELE STATION,PUTD,4,8,E,BD,5285
2021-05-03,06:47,Monday,SHEPPARD WEST STATION,MUO,0,0,,YU,0
2021-05-03,07:00,Monday,CHRISTIE STATION,TUSC,0,0,W,BD,5112
2021-05-03,07:21,Monday,MCCOWAN STATION,ERME,6,11,N,SRT,3007
2021-05-03,07:22,Monday,COLLEGE STATION,MUI,10,14,N,YU,6046
2021-05-03,09:00,Monday,ST GEORGE BD STATION,TUMVS,7,11,E,BD,5123
