"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-06-01,05:35,Tuesday,FINCH STATION,TUSC,0,0,S,YU,5896"
"2021-06-01,05:40,Tuesday,HIGH PARK STATION,MUPLB,41,48,E,BD,5058"
"2021-06-01,05:59,Tuesday,WILSON STATION,TUNIP,3,6,S,YU,6001"
"2021-06-01,06:04,Tuesday,JANE STATION,SUDP,0,0,E,BD,5004"
"2021-06-01,06:52,Tuesday,KIPLING STATION,TUMVS,0,0,W,BD,5161"
"2021-06-01,07:16,Tuesday,DUFFERIN STATION,SUDP,4,8,W,BD,5040"
"2021-06-01,07:37,Tuesday,ROSEDALE STATION,MUSC,0,0,N,YU,6011"
"2021-06-01,07:37,Tuesday,KIPLING STATION,SUDP,4,8,E,BD,5040"
"2021-06-01,08:07,Tuesday,SPADINA BD STATION,PUMEL,0,0,,BD,0"
"2021-06-01,08:40,Tuesday,COLLEGE STATION,MUPAA,0,0,N,YU,6051"
"2021-06-01,09:04,Tuesday,COLLEGE STATION,MUIS,0,0,,YU,0"
"2021-06-01,09:16,Tuesday,SHERBOURNE STATION,MUPAA,0,0,E,BD,5171"
"2021-06-01,09:32,Tuesday,KIPLING STATION,TUMVS,0,0,W,BD,5325"
"2021-06-01,09:53,Tuesday,VICTORIA PARK STATION,SUO,0,0,,BD,0"
"2021-06-01,10:25,Tuesday,YONGE BD STATION,SUDP,4,8,E,BD,5199"
"2021-06-01,10:37,Tuesday,ROSEDALE STATION,SUUT,25,28,N,YU,5391"
"2021-06-01,10:37,Tuesday,EGLINTON STATION,MUSC,0,0,E,YU,5836"
"2021-06-01,11:12,Tuesday,BLOOR STATION,MUPAA,3,6,N,YU,5986"
"2021-06-01,11:18,Tuesday,SPADINA BD STATION,MUPAA,0,0,W,BD,5225"
"2021-06-01,11:33,Tuesday,RUNNYMEDE STATION,SUBT,15,19,W,BD,5226"
"2021-06-01,11:47,Tuesday,HIGH PARK STATION,SUDP,0,0,,BD,0"
"2021-06-01,12:28,Tuesday,ST CLAIR WEST STATION,MUIS,0,0,,YU,0"
"2021-06-01,12:40,Tuesday,PAPE STATION,SUO,0,0,E,BD,5217"
"2021-06-01,13:23,Tuesday,FINCH STATION,TUMVS,0,0,N,YU,5486"
"2021-06-01,13:53,Tuesday,LAWRENCE STATION,SUUT,7,10,S,YU,5421"
"2021-06-01,14:07,Tuesday,VAUGHAN MC STATION,MUPLC,0,0,,YU,0"
"2021-06-01,14:12,Tuesday,KIPLING STATION,TUMVS,0,0,W,BD,5148"
"2021-06-01,14:15,Tuesday,YONGE-UNIVERSITY SUBWA,MUO,0,0,,YU,0"
"2021-06-01,14:19,Tuesday,COLLEGE STATION,SUDP,0,0,N,YU,0"
"2021-06-01,15:00,Tuesday,DONLANDS STATION,MUIRS,0,0,W,BD,5161"
"2021-06-01,15:12,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,5396"
"2021-06-01,16:11,Tuesday,QUEEN STATION,PUSAC,3,6,S,YU,5616"
"2021-06-01,16:15,Tuesday,ST CLAIR STATION,MUDD,3,6,S,YU,5836"
"2021-06-01,16:26,Tuesday,ST PATRICK STATION,SUDP,3,6,N,YU,5616"
"2021-06-01,16:34,Tuesday,YONGE BD STATION,SUDP,6,10,E,BD,5246"
"2021-06-01,16:54,Tuesday,DOWNSVIEW PARK STATION,MUIRS,0,0,,YU,0"
"2021-06-01,17:47,Tuesday,LAWRENCE WEST STATION,MUIS,0,0,,YU,0"
"2021-06-01,17:56,Tuesday,BLOOR STATION,MUPAA,0,0,S,YU,5776"
"2021-06-01,18:46,Tuesday,KIPLING STATION,TUMVS,0,0,W,BD,5161"
"2021-06-01,19:30,Tuesday,VICTORIA PARK STATION,MUNCA,0,0,,BD,0"
"2021-06-01,20:04,Tuesday,ST GEORGE BD STATION,MUIE,0,0,,BD,0"
"2021-06-01,20:43,Tuesday,BLOOR STATION,MUPAA,0,0,N,YU,5626"
"2021-06-01,21:57,Tuesday,MAIN STREET STATION,MUIS,0,0,,BD,0"
