"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-02-01,00:06,Monday,WILSON STATION,EUECD,5,10,N,YU,5841"
"2021-02-01,00:15,Monday,BAY STATION,MUIS,0,0,W,BD,0"
"2021-02-01,01:48,Monday,YORK MILLS STATION,TUMVS,0,0,S,YU,5551"
"2021-02-01,01:55,Monday,DUNDAS WEST STATION,TUMVS,0,0,W,BD,5165"
"2021-02-01,02:40,Monday,KENNEDY BD STATION,SUO,0,0,,BD,0"
"2021-02-01,02:52,Monday,FINCH STATION,SUAE,0,0,,YU,0"
"2021-02-01,06:28,Monday,KIPLING STATION,MUTO,3,8,E,BD,5125"
"2021-02-01,07:36,Monday,ROSEDALE STATION,TUSC,0,0,N,YU,6016"
"2021-02-01,07:54,Monday,ROSEDALE STATION,MUSC,0,0,N,YU,6111"
"2021-02-01,09:04,Monday,COLLEGE STATION,MUIRS,0,0,,YU,0"
"2021-02-01,09:16,Monday,RUNNYMEDE STATION,PUMEL,0,0,,BD,0"
"2021-02-01,10:04,Monday,ISLINGTON STATION,SUO,0,0,,BD,0"
"2021-02-01,10:40,Monday,ROSEDALE STATION,MUSC,0,0,N,YU,6111"
"2021-02-01,10:50,Monday,EGLINTON STATION (ENTE,MUSC,0,0,N,YU,5491"
"2021-02-01,10:53,Monday,EGLINTON STATION (LEAV,TUSC,0,0,N,YU,5491"
"2021-02-01,11:18,Monday,ROSEDALE STATION,MUATC,5,8,S,YU,5631"
"2021-02-01,11:37,Monday,DON MILLS STATION,EUBK,0,0,W,SHP,6156"
"2021-02-01,13:50,Monday,ISLINGTON STATION,PUMEL,0,0,,BD,0"
"2021-02-01,14:00,Monday,EGLINTON STATION,MUSC,0,0,N,YU,5966"
"2021-02-01,14:10,Monday,COXWELL STATION,TUO,7,10,W,BD,5148"
"2021-02-01,14:24,Monday,SUMMERHILL STATION,SUUT,8,11,N,YU,5856"
"2021-02-01,14:59,Monday,SHERBOURNE STATION,MUIS,0,0,W,BD,0"
"2021-02-01,15:40,Monday,UNION STATION,EUDO,8,11,N,YU,5636"
"2021-02-01,15:42,Monday,ST CLAIR STATION,MUSC,0,0,S,YU,5661"
"2021-02-01,16:02,Monday,COLLEGE STATION,MUIS,0,0,N,YU,0"
"2021-02-01,16:51,Monday,COLLEGE STATION,SUDP,6,9,N,YU,5396"
"2021-02-01,18:29,Monday,EGLINTON STATION,MUSAN,3,6,N,YU,5461"
"2021-02-01,18:39,Monday,KIPLING STATION,EUTL,3,6,E,BD,5367"
"2021-02-01,19:13,Monday,BLOOR STATION,MUIRS,0,0,,YU,0"
"2021-02-01,19:35,Monday,DUNDAS WEST STATION,EUCD,8,11,E,BD,5367"
"2021-02-01,19:55,Monday,KENNEDY BD STATION,PUMST,0,0,,BD,0"
"2021-02-01,20:39,Monday,ROSEDALE STATION,TUSC,0,0,N,YU,5381"
"2021-02-01,20:42,Monday,KING STATION,MUPAA,0,0,N,YU,6121"
"2021-02-01,20:54,Monday,COLLEGE STATION,MUIR,0,0,S,YU,5841"
"2021-02-01,20:55,Monday,WARDEN STATION,MUIS,0,0,,BD,0"
"2021-02-01,20:57,Monday,DUNDAS STATION,SUAP,0,0,N,YU,0"
"2021-02-01,21:06,Monday,DUNDAS STATION,MUIS,0,0,S,YU,0"
"2021-02-01,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0"
"2021-02-01,22:16,Monday,ROYAL YORK STATION,MUIS,0,0,E,BD,0"
"2021-02-01,22:59,Monday,EGLINTON WEST STATION,MUIS,0,0,,YU,0"
"2021-02-01,23:44,Monday,WILSON STATION,EUTR,5,10,N,YU,5956"
"2021-02-02,00:24,Tuesday,ROSEDALE STATION,MUSC,0,0,N,YU,5536"
"2021-02-02,00:50,Tuesday,DUFFERIN STATION,SUDP,17,22,E,BD,5158"
"2021-02-02,01:48,Tuesday,VAUGHAN MC STATION,SUDP,0,0,S,YU,5721"
"2021-02-02,01:51,Tuesday,SCARBOROUGH CTR STATIO,SRDP,0,0,,SRT,0"
"2021-02-02,01:56,Tuesday,ROSEDALE STATION,MUIRS,0,0,,YU,0"
"2021-02-02,02:34,Tuesday,FINCH STATION,MUIS,0,0,,YU,0"
"2021-02-02,04:31,Tuesday,ST GEORGE YU STATION,MUO,0,0,,YU,0"
"2021-02-02,05:38,Tuesday,EGLINTON STATION,MUTO,3,0,N,YU,5616"
"2021-02-02,06:19,Tuesday,WILSON STATION,SUO,0,0,N,YU,0"
"2021-02-02,06:50,Tuesday,KENNEDY BD STATION,EUAC,5,10,W,BD,5201"
"2021-02-02,07:05,Tuesday,LAWRENCE STATION,EUSC,3,6,S,YU,6016"
"2021-02-02,07:14,Tuesday,ROSEDALE STATION,MUATC,24,27,N,YU,5916"
"2021-02-02,07:27,Tuesday,WELLESLEY STATION,SUDP,4,7,S,YU,5451"
