"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-11-01,02:27,Monday,KENNEDY BD STATION,MUIS,0,0,,BD,0"
"2021-11-01,16:00,Monday,MIDLAND STATION,MRTO,5,8,S,SRT,3002"
"2021-11-01,02:34,Monday,FINCH STATION,MUIS,0,0,,YU,0"
"2021-11-01,19:34,Monday,MIDLAND STATION,TRNCA,0,0,,SRT,0"
"2021-11-01,02:51,Monday,KENNEDY BD STATION,MUIS,0,0,,BD,0"
"2021-11-01,22:35,Monday,KENNEDY SRT - LAWRENCE,MRO,0,0,,SRT,0"
"2021-11-01,03:16,Monday,WILSON STATION,MUIS,0,0,,YU,0"
"2021-11-01,05:43,Monday,KIPLING STATION,MUIS,0,0,,BD,0"
"2021-11-01,05:57,Monday,NORTH YORK CTR STATION,EUSC,0,0,N,YU,5981"
"2021-11-01,06:23,Monday,DAVISVILLE STATION,TUO,15,20,S,YU,5456"
"2021-11-01,06:28,Monday,SHEPPARD WEST STATION,EUDO,5,10,N,YU,5946"
"2021-11-01,06:57,Monday,KENNEDY BD STATION,PUSRA,3,6,E,BD,5021"
"2021-11-01,08:50,Monday,ST CLAIR STATION,MUIR,0,0,S,YU,5546"
"2021-11-01,09:22,Monday,BLOOR STATION,SUDP,10,13,N,YU,5826"
"2021-11-01,10:10,Monday,CASTLE FRANK STATION,MUSAN,3,6,W,BD,5102"
"2021-11-01,10:18,Monday,FINCH STATION,TUMVS,0,0,N,YU,6031"
"2021-11-01,11:03,Monday,ST GEORGE BD STATION,SUDP,4,7,E,BD,5038"
"2021-11-01,11:30,Monday,KING STATION,MUIRS,0,0,,YU,0"
"2021-11-01,12:00,Monday,FINCH STATION,MUIS,0,0,,YU,0"
"2021-11-01,12:12,Monday,DUNDAS STATION,MUATC,5,8,N,YU,5921"
"2021-11-01,12:45,Monday,DAVISVILLE BUILDUP,MUATC,15,18,S,YU,5671"
"2021-11-01,12:49,Monday,EGLINTON STATION,MUPAA,0,0,S,YU,5946"
"2021-11-01,13:42,Monday,EGLINTON WEST STATION,MUIS,0,0,,YU,0"
"2021-11-01,14:11,Monday,CHESTER STATION,TUSC,0,0,E,BD,5188"
"2021-11-01,14:18,Monday,ST GEORGE BD STATION,MUI,8,11,E,BD,5201"
"2021-11-01,14:32,Monday,SHEPPARD STATION,SUDP,0,0,S,YU,5526"
"2021-11-01,14:50,Monday,KIPLING STATION,EUBK,3,6,E,BD,5247"
"2021-11-01,15:11,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-01,15:15,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-01,15:17,Monday,KENNEDY BD STATION,EUVA,3,6,W,BD,5206"
"2021-11-01,15:20,Monday,ST GEORGE YUS STATION,SUDP,3,6,N,YU,5626"
"2021-11-01,15:24,Monday,QUEEN'S PARK STATION,SUROB,0,0,N,YU,5821"
"2021-11-01,15:43,Monday,VICTORIA PARK STATION,SUO,0,0,,BD,0"
"2021-11-01,15:43,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,5391"
"2021-11-01,16:42,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-01,16:53,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-01,16:57,Monday,OLD MILL STATION,SUDP,9,12,E,BD,5286"
"2021-11-01,17:03,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-01,18:46,Monday,SUMMERHILL STATION,TUOS,3,6,S,YU,5821"
"2021-11-01,19:08,Monday,FINCH WEST STATION,MUIS,0,0,,YU,0"
"2021-11-01,19:12,Monday,OSGOODE STATION,MUTO,3,6,N,YU,5526"
"2021-11-01,19:25,Monday,QUEEN'S PARK STATION,PUSAC,3,6,S,YU,5961"
"2021-11-01,19:42,Monday,EGLINTON WEST STATION,SUDP,17,20,N,YU,5471"
"2021-11-01,19:49,Monday,YORK UNIVERSITY STATIO,SUDP,4,7,S,YU,5396"
"2021-11-01,20:05,Monday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,5521"
"2021-11-01,20:12,Monday,PAPE STATION,MUIS,0,0,,BD,0"
"2021-11-01,20:31,Monday,UNION STATION,SUAE,0,0,,YU,0"
"2021-11-01,20:53,Monday,SPADINA YUS STATION,SUDP,0,0,N,YU,5401"
"2021-11-01,21:08,Monday,FINCH STATION,MUSAN,3,6,S,YU,5671"
"2021-11-01,21:37,Monday,YONGE BD STATION,SUDP,6,12,W,BD,5170"
"2021-11-01,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0"
"2021-11-01,22:02,Monday,COLLEGE STATION,MUIR,13,18,N,YU,5686"
"2021-11-01,22:10,Monday,VAUGHAN MC STATION,TUNIP,4,9,S,YU,5466"
"2021-11-01,22:28,Monday,FINCH WEST STATION,PUMEL,0,0,,YU,0"
"2021-11-01,22:39,Monday,EGLINTON WEST STATION,TUO,8,13,S,YU,5466"
"2021-11-01,22:46,Monday,YONGE BD STATION,MUIRS,0,0,,BD,0"
"2021-11-01,23:42,Monday,KIPLING STATION,MUIS,0,0,,BD,0"
"2021-11-01,23:50,Monday,LAWRENCE STATION,SUDP,0,0,,YU,0"
"2021-11-01,00:03,Monday,WELLESLEY STATION,MUIS,0,0,S,YU,0"
"2021-11-01,00:53,Monday,VICTORIA PARK STATION,TUMVS,3,9,W,BD,5113"
"2021-11-01,01:21,Monday,QUEEN STATION,MUIS,0,0,S,YU,0"
"2021-11-01,01:29,Monday,TORONTO TRANSIT COMMIS,MUO,0,0,,YUS,0"
"2021-11-01,01:30,Monday,SHEPPARD WEST STATION,MUI,8,13,S,YU,5496"
"2021-11-01,01:46,Monday,FINCH STATION,SUDP,0,0,,YU,0"
"2021-11-01,01:10,Monday,DON MILLS STATION,SUDP,4,9,E,SHP,6176"
"2021-11-02,16:22,Tuesday,LAWRENCE EAST STATION,MRUI,0,0,,SRT,0"
"2021-11-02,05:37,Tuesday,NORTH YORK CTR STATION,MUSC,0,0,S,YU,5971"
"2021-11-02,22:00,Tuesday,LAWRENCE EAST STATION,MRO,0,0,B,SRT,0"
"2021-11-02,05:39,Tuesday,YORK MILLS STATION,PUTWZ,18,0,N,YU,5791"
"2021-11-02,05:39,Tuesday,GREENWOOD STATION,TUNIP,0,0,E,BD,5092"
"2021-11-02,05:45,Tuesday,GREENWOOD STATION,MUO,4,0,E,BD,5268"
"2021-11-02,05:47,Tuesday,UNION STATION,SUO,0,0,,YU,0"
"2021-11-02,06:04,Tuesday,DUNDAS WEST STATION,MUIRS,0,0,,BD,0"
"2021-11-02,06:23,Tuesday,MAIN STREET STATION,EUSC,4,9,W,BD,5259"
"2021-11-02,06:45,Tuesday,DAVISVILLE STATION,MUATC,3,6,S,YU,6021"
"2021-11-02,08:55,Tuesday,COLLEGE STATION,SUDP,3,6,S,YU,5506"
"2021-11-02,09:50,Tuesday,WELLESLEY STATION,MUNCA,0,0,,YU,0"
"2021-11-02,10:50,Tuesday,EGLINTON STATION,MUATC,12,15,S,YU,5841"
"2021-11-02,10:56,Tuesday,KIPLING STATION,MUTO,3,6,E,BD,5270"
"2021-11-02,11:10,Tuesday,ROYAL YORK STATION,SUUT,0,0,E,BD,5113"
"2021-11-02,11:11,Tuesday,SHERBOURNE STATION,PUMEL,0,0,,BD,0"
"2021-11-02,11:46,Tuesday,ISLINGTON STATION,MUTD,0,0,E,BD,5162"
"2021-11-02,11:53,Tuesday,VICTORIA PARK STATION,TUOS,3,6,E,BD,5223"
"2021-11-02,12:05,Tuesday,KENNEDY BD STATION,MUO,3,6,W,BD,5223"
"2021-11-02,12:18,Tuesday,NORTH YORK CTR STATION,MUSC,0,0,S,YU,5431"
"2021-11-02,12:22,Tuesday,GREENWOOD SHOP,MUIE,0,0,,,0"
"2021-11-02,13:00,Tuesday,KENNEDY BD STATION,TUNOA,3,6,W,BD,5000"
"2021-11-02,13:07,Tuesday,EGLINTON STATION,MUSC,0,0,N,YU,5846"
"2021-11-02,13:49,Tuesday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-02,14:02,Tuesday,ROSEDALE STATION,MUPLB,11,14,S,YU,5816"
"2021-11-02,14:09,Tuesday,SUMMERHILL STATION,MUPAA,0,0,S,YU,5926"
"2021-11-02,14:26,Tuesday,PAPE STATION,EUTR,3,6,E,BD,5299"
"2021-11-02,14:30,Tuesday,NORTH YORK CTR STATION,EUSC,0,0,N,YU,5981"
"2021-11-02,15:06,Tuesday,DUFFERIN STATION,MUPAA,3,6,E,BD,5303"
"2021-11-02,15:07,Tuesday,WARDEN STATION,MUO,5,8,W,BD,5102"
"2021-11-02,15:11,Tuesday,DONLANDS STATION,EUDO,10,9,W,BD,5374"
"2021-11-02,15:13,Tuesday,ROSEDALE STATION,MUI,7,10,N,YU,5476"
"2021-11-02,15:24,Tuesday,BLOOR STATION,MUD,3,6,N,YU,5756"
"2021-11-02,15:28,Tuesday,WARDEN STATION,SUO,0,0,W,BD,5208"
"2021-11-02,15:48,Tuesday,MUSEUM STATION,MUPAA,0,0,S,YU,5726"
"2021-11-02,15:48,Tuesday,OLD MILL STATION,SUO,20,23,W,BD,5014"
"2021-11-02,16:28,Tuesday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-11-02,16:35,Tuesday,QUEEN STATION,MUPAA,0,0,S,YU,5791"
"2021-11-02,16:39,Tuesday,COLLEGE STATION,MUO,0,0,,YU,0"
"2021-11-02,16:52,Tuesday,MAIN STREET STATION,MUIRS,0,0,W,BD,0"
"2021-11-02,16:59,Tuesday,UNION STATION,MUIRS,0,0,,YU,0"
