"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-10-01,02:02,Friday,DUNDAS WEST STATION,MUIS,0,0,,BD,0"
"2021-10-01,12:12,Friday,MCCOWAN STATION,TRNOA,6,12,S,SRT,0"
"2021-10-01,05:38,Friday,EGLINTON STATION,SUUT,8,0,N,YU,6026"
"2021-10-01,12:49,Friday,KENNEDY SRT STATION,PRSA,45,53,S,SRT,3006"
"2021-10-01,05:38,Friday,YORK MILLS STATION,SUUT,7,0,N,YU,5871"
"2021-10-01,06:26,Friday,DOWNSVIEW PARK STATION,MUSC,0,0,N,YU,5976"
"2021-10-01,06:38,Friday,FINCH STATION,MUSC,0,0,S,YU,5816"
"2021-10-01,06:54,Friday,KIPLING STATION,TUO,3,6,E,BD,5015"
"2021-10-01,07:14,Friday,DUNDAS WEST STATION,SUAE,0,0,,BD,0"
"2021-10-01,09:26,Friday,ROSEDALE STATION,MUSC,0,0,S,YU,5466"
"2021-10-01,10:30,Friday,YORK MILLS STATION,TUSC,3,6,S,YU,6006"
"2021-10-01,11:19,Friday,CHESTER STATION,SUDP,0,0,W,BD,5345"
"2021-10-01,11:55,Friday,ST ANDREW STATION,MUPAA,0,0,N,YU,5886"
"2021-10-01,12:08,Friday,NORTH YORK CTR STATION,TUMVS,0,0,N,YU,5611"
"2021-10-01,13:57,Friday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-10-01,14:48,Friday,FINCH STATION,MUIE,0,0,N,YU,5861"
"2021-10-01,14:53,Friday,FINCH STATION,TUSC,0,0,N,YU,5526"
"2021-10-01,15:16,Friday,BROADVIEW STATION,EUME,7,10,W,BD,5259"
"2021-10-01,15:24,Friday,BATHURST STATION,MUIRS,0,0,,BD,0"
"2021-10-01,15:25,Friday,QUEEN STATION,MUIRS,0,0,N,YU,0"
"2021-10-01,15:34,Friday,YONGE BD STATION,SUAE,5,8,E,BD,5307"
"2021-10-01,15:35,Friday,VAUGHAN MC STATION,MUIS,0,0,,YU,0"
"2021-10-01,15:58,Friday,GREENWOOD STATION,PUMEL,0,0,,BD,0"
"2021-10-01,16:28,Friday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-10-01,16:37,Friday,VAUGHAN MC STATION,MUTO,3,6,S,YU,5466"
"2021-10-01,16:58,Friday,UNION STATION,MUIRS,0,0,,YU,0"
"2021-10-01,17:16,Friday,SPADINA BD STATION,MUIRS,0,0,W,BD,5022"
"2021-10-01,17:56,Friday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-10-01,18:13,Friday,LAWRENCE STATION,SUAP,0,0,N,YU,0"
"2021-10-01,19:32,Friday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0"
"2021-10-01,19:56,Friday,OSSINGTON STATION,SUDP,3,8,W,BD,5233"
"2021-10-01,20:04,Friday,CASTLE FRANK STATION,MUIRS,0,0,E,BD,0"
"2021-10-01,20:14,Friday,ST GEORGE YUS STATION,MUI,13,16,N,YU,5731"
"2021-10-01,20:56,Friday,DONLANDS STATION,PUSTC,6,12,E,BD,5156"
"2021-10-01,20:59,Friday,DUNDAS WEST STATION,TUMVS,0,0,W,BD,5072"
"2021-10-01,21:25,Friday,WOODBINE STATION,MUIS,0,0,,BD,0"
"2021-10-01,21:36,Friday,ST ANDREW STATION,SUO,0,0,S,YU,6021"
"2021-10-01,21:45,Friday,BAY STATION,MUPAA,0,0,E,BD,5278"
"2021-10-01,22:00,Friday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0"
"2021-10-01,23:15,Friday,KING STATION TO EGLINT,MUO,0,0,,YU,0"
"2021-10-01,23:18,Friday,JANE STATION,TUOS,0,0,E,BD,5119"
"2021-10-01,00:02,Friday,EGLINTON STATION,MUPAA,4,11,S,YU,6071"
"2021-10-01,00:33,Friday,WELLESLEY STATION,SUDP,0,0,,,0"
"2021-10-01,00:59,Friday,LESLIE STATION,MUSC,0,0,W,SHP,6171"
"2021-10-02,16:08,Saturday,SCARBOROUGH CTR STATIO,SRAP,0,0,,SRT,0"
"2021-10-02,02:30,Saturday,WILSON GARAGE,SUO,0,0,,YU,0"
"2021-10-02,19:11,Saturday,LAWRENCE EAST STATION,ERTC,5,10,N,SRT,3013"
"2021-10-02,05:49,Saturday,QUEEN'S PARK STATION,MUIRS,0,0,,YU,0"
"2021-10-02,19:14,Saturday,LAWRENCE EAST STATION,MRPAA,0,0,N,SRT,3003"
"2021-10-02,05:50,Saturday,VAUGHAN MC STATION,MUATC,15,0,S,YU,5856"
"2021-10-02,05:56,Saturday,KENNEDY BD STATION,TUKEY,4,10,W,BD,5233"
"2021-10-02,22:38,Saturday,LAWRENCE EAST STATION,SREAS,13,18,N,SRT,3023"
"2021-10-02,06:01,Saturday,BLOOR STATION,MUATC,54,0,S,YU,5546"
"2021-10-02,06:15,Saturday,MAIN STREET STATION,EUPI,5,10,W,BD,5155"
"2021-10-02,06:48,Saturday,FINCH STATION,PUTD,0,0,N,YU,5521"
"2021-10-02,06:52,Saturday,WILSON STATION,MUATC,0,0,S,YU,5631"
"2021-10-02,07:09,Saturday,JANE STATION,EUCD,5,10,E,BD,5204"
