"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-09-01,05:41,Wednesday,VICTORIA PARK STATION,MUIS,0,0,,BD,0"
"2021-09-01,06:32,Wednesday,NORTH YORK CTR STATION,EUSC,0,0,S,YU,5726"
"2021-09-01,07:58,Wednesday,WARDEN STATION,MUIRS,0,0,,BD,0"
"2021-09-01,08:08,Wednesday,ROSEDALE STATION,MUSC,3,6,N,YU,5846"
"2021-09-01,08:24,Wednesday,RUNNYMEDE STATION,PUMST,0,0,,BD,0"
"2021-09-01,09:26,Wednesday,GREENWOOD STATION,MUD,3,7,W,BD,5253"
"2021-09-01,09:47,Wednesday,LANSDOWNE STATION,MUIS,0,0,,BD,0"
"2021-09-01,11:10,Wednesday,SPADINA BD STATION,MUDD,3,7,W,BD,5255"
"2021-09-01,11:28,Wednesday,DUNDAS STATION,MUPAA,0,0,S,YU,5776"
"2021-09-01,11:46,Wednesday,KIPLING STATION,MUIRS,0,0,,BD,0"
"2021-09-01,12:17,Wednesday,ROSEDALE STATION,MUSC,0,0,N,YU,5466"
"2021-09-01,12:27,Wednesday,ST CLAIR STATION,EUNT,10,13,S,YU,5436"
"2021-09-01,14:41,Wednesday,ROSEDALE STATION,SUUT,3,6,S,YU,5866"
"2021-09-01,14:55,Wednesday,KIPLING STATION,TUO,4,8,E,BD,5247"
"2021-09-01,15:02,Wednesday,ROSEDALE STATION,SUO,3,6,N,YU,5646"
"2021-09-01,15:18,Wednesday,COLLEGE STATION,MUPAA,3,6,N,YU,5651"
"2021-09-01,15:40,Wednesday,ROYAL YORK STATION,MUIS,3,7,E,BD,5076"
"2021-09-01,16:30,Wednesday,EGLINTON STATION,MUSAN,3,6,N,YU,5976"
"2021-09-01,17:16,Wednesday,DAVISVILLE STATION,MUIE,0,0,,YU,0"
"2021-09-01,17:19,Wednesday,SHEPPARD STATION,MUPAA,0,0,S,YU,5436"
"2021-09-01,17:42,Wednesday,RUNNYMEDE STATION,SUAP,6,10,E,BD,5366"
"2021-09-01,17:51,Wednesday,HIGH PARK STATION,SUDP,12,16,E,BD,5149"
"2021-09-01,17:55,Wednesday,KENNEDY BD STATION,MUSAN,4,8,W,BD,5065"
"2021-09-01,18:52,Wednesday,BLOOR STATION,SUDP,4,10,S,YU,5441"
"2021-09-01,18:58,Wednesday,BLOOR STATION,MUIR,3,8,S,YU,5956"
"2021-09-01,19:00,Wednesday,BLOOR STATION,SUDP,0,0,S,YU,5776"
"2021-09-01,19:00,Wednesday,YONGE BD STATION,SUO,0,0,W,BD,5161"
"2021-09-01,19:15,Wednesday,WILSON STATION,MUATC,3,8,S,YU,6081"
"2021-09-01,19:35,Wednesday,WARDEN STATION,TUMVS,0,0,E,BD,5154"
"2021-09-01,19:48,Wednesday,WELLESLEY STATION,MUIS,0,0,,YU,0"
"2021-09-01,19:57,Wednesday,ISLINGTON STATION,SUO,0,0,,BD,0"
"2021-09-01,20:04,Wednesday,JANE STATION,MUIS,0,0,,BD,0"
"2021-09-01,20:35,Wednesday,MAIN STREET AND UNION,MUO,0,0,,,0"
"2021-09-01,20:38,Wednesday,QUEEN STATION,MUIRS,0,0,N,YU,0"
"2021-09-01,20:57,Wednesday,QUEEN STATION,MUIS,0,0,,YU,0"
"2021-09-01,21:00,Wednesday,NORTH YORK CTR STATION,SUDP,3,8,N,YU,5446"
"2021-09-01,21:07,Wednesday,BLOOR STATION,MUIS,0,0,S,YU,0"
"2021-09-01,21:31,Wednesday,YORK MILLS STATION,MUPAA,3,8,S,YU,5841"
"2021-09-01,21:47,Wednesday,KIPLING STATION,EUNT,4,11,E,BD,5247"
"2021-09-01,21:53,Wednesday,EGLINTON WEST STATION,SUDP,0,0,N,YU,5441"
"2021-09-01,22:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0"
"2021-09-01,22:14,Wednesday,UNION AND KENNEDY STAT,MUO,0,0,,,0"
"2021-09-01,22:52,Wednesday,DUNDAS STATION,MUIS,0,0,,YU,0"
"2021-09-01,23:13,Wednesday,KING STATION TO ST GEO,MUO,0,0,,YU,0"
"2021-09-01,23:25,Wednesday,ROSEDALE STATION,MUSC,0,0,N,YU,5571"
"2021-09-01,23:38,Wednesday,ROSEDALE STATION,MUPAA,0,0,N,YU,5711"
"2021-09-01,23:53,Wednesday,JANE STATION,SUUT,67,74,E,BD,5079"
"2021-09-01,00:29,Wednesday,KENNEDY BD STATION,MUSAN,9,15,W,BD,5072"
"2021-09-01,00:31,Wednesday,MAIN STREET STATION,MUIS,0,0,,BD,0"
"2021-09-01,00:52,Wednesday,YORK UNIVERSITY STATIO,SUDP,3,10,N,YU,5841"
"2021-09-01,01:21,Wednesday,SUMMERHILL STATION,SUDP,15,22,S,YU,5786"
"2021-09-01,01:30,Wednesday,NORTH YORK CTR STATION,SUDP,0,0,N,YU,0"
"2021-09-01,18:59,Wednesday,DON MILLS STATION,SUDP,10,15,W,SHP,6176"
"2021-09-02,05:53,Thursday,EGLINTON STATION,EUPI,10,15,N,YU,5671"
"2021-09-02,09:51,Thursday,SCARBOROUGH CTR STATIO,MRPAA,0,0,N,SRT,3017"
"2021-09-02,17:27,Thursday,LAWRENCE EAST STATION,MRUI,0,0,,SRT,0"
"2021-09-02,06:11,Thursday,MUSEUM STATION,MUPAA,0,0,N,YU,5786"
"2021-09-02,06:33,Thursday,FINCH STATION,EUSC,0,0,S,YU,5726"
"2021-09-02,07:19,Thursday,FINCH STATION,TUMVS,3,6,S,YU,5796"
"2021-09-02,07:51,Thursday,ROSEDALE STATION,MUSC,0,0,N,YU,5571"
"2021-09-02,10:38,Thursday,WILSON CARHOUSE,MUIE,0,0,,YU,0"
"2021-09-02,10:51,Thursday,COXWELL STATION,EUTR,4,8,W,BD,5253"
"2021-09-02,12:15,Thursday,EGLINTON STATION,MUIS,0,0,,YU,0"
"2021-09-02,12:35,Thursday,ROSEDALE STATION,MUSC,0,0,N,YU,5661"
"2021-09-02,12:44,Thursday,KIPLING STATION,EUME,4,8,E,BD,5131"
