"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-03-01,00:23,Monday,EGLINTON STATION,PUTTP,8,13,N,YU,5511"
"2021-03-01,00:33,Monday,DUFFERIN STATION,MUIS,0,0,,BD,0"
"2021-03-01,01:13,Monday,SHERBOURNE STATION,MUIS,0,0,,BD,0"
"2021-03-01,05:51,Monday,FINCH STATION,PUSI,3,8,N,YU,5676"
"2021-03-01,05:51,Monday,SHEPPARD WEST STATION,PUDCS,31,0,N,YU,5611"
"2021-03-01,06:21,Monday,WARDEN STATION,PUSI,0,0,W,BD,5112"
"2021-03-01,06:26,Monday,WARDEN STATION,PUSI,0,0,W,BD,5198"
"2021-03-01,06:28,Monday,VICTORIA PARK STATION,MUO,3,8,W,BD,5112"
"2021-03-01,07:05,Monday,FINCH STATION,PUSI,0,0,N,YU,5476"
"2021-03-01,10:12,Monday,FINCH STATION,PUSO,3,7,N,YU,5876"
"2021-03-01,10:28,Monday,EGLINTON STATION,MUIS,0,0,,YU,0"
"2021-03-01,10:39,Monday,OSSINGTON STATION,SUDP,11,15,W,BD,5343"
"2021-03-01,10:54,Monday,ST GEORGE YUS STATION,MUPAA,0,0,N,YU,6126"
"2021-03-01,11:18,Monday,FINCH STATION,MUSAN,4,7,S,YU,5526"
"2021-03-01,12:25,Monday,SHEPPARD WEST STATION,EUBK,4,8,S,YU,5801"
"2021-03-01,12:26,Monday,FINCH WEST STATION,MUPR1,81,84,N,YU,5906"
"2021-03-01,12:58,Monday,RUNNYMEDE STATION,SUDP,0,0,E,BD,5307"
"2021-03-01,13:01,Monday,BATHURST STATION,EUDO,11,15,W,BD,5313"
"2021-03-01,13:17,Monday,KIPLING STATION,MUSAN,4,8,E,BD,5193"
"2021-03-01,13:19,Monday,FINCH WEST STATION,MUIS,0,0,,YU,0"
"2021-03-01,13:30,Monday,CHRISTIE STATION,MUPAA,3,7,E,BD,5121"
"2021-03-01,14:33,Monday,ST GEORGE YUS STATION,SUO,0,0,,YU,0"
"2021-03-01,15:12,Monday,VAUGHAN MC STATION,MUSAN,3,6,S,YU,5616"
"2021-03-01,16:00,Monday,KEELE STATION,PUMST,0,0,,BD,0"
"2021-03-01,16:07,Monday,ST GEORGE YUS STATION,MUSAN,3,6,S,YU,5456"
"2021-03-01,16:20,Monday,QUEEN STATION,SUAP,0,0,S,YU,0"
"2021-03-01,16:37,Monday,MAIN STREET STATION,PUMEL,0,0,,BD,0"
"2021-03-01,16:39,Monday,UNION STATION,SUDP,0,0,,YU,0"
"2021-03-01,16:43,Monday,COLLEGE STATION,PUMEL,0,0,,YU,0"
"2021-03-01,16:54,Monday,ROSEDALE STATION,MUNCA,0,0,,YU,0"
"2021-03-01,16:59,Monday,GREENWOOD STATION,SUUT,5,9,W,BD,5340"
"2021-03-01,17:09,Monday,WARDEN STATION,MUPLC,0,0,,BD,0"
"2021-03-01,17:12,Monday,FINCH STATION,PUSI,3,6,S,YU,5401"
"2021-03-01,17:19,Monday,YONGE BD STATION,SUAP,0,0,,BD,0"
"2021-03-01,17:26,Monday,QUEEN STATION,SUDP,3,6,S,YU,5656"
"2021-03-01,17:48,Monday,YORK UNIVERSITY STATIO,SUDP,0,0,,YU,0"
"2021-03-01,18:40,Monday,KENNEDY BD STATION,MUTO,3,7,W,BD,5317"
"2021-03-01,18:59,Monday,COXWELL STATION,SUDP,3,7,W,BD,5104"
"2021-03-01,19:39,Monday,KENNEDY BD STATION,MUIS,0,0,,BD,0"
"2021-03-01,20:38,Monday,VICTORIA PARK STATION,PUMEL,0,0,W,BD,0"
"2021-03-01,22:00,Monday,YONGE UNIVERSITY SUBWA,MUO,0,0,,YU/BD,0"
"2021-03-01,22:53,Monday,WILSON STATION,MUATC,5,10,N,YU,5506"
"2021-03-01,22:55,Monday,FINCH STATION,SUDP,0,0,N,YU,5676"
"2021-03-01,23:35,Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,5866"
"2021-03-02,02:25,Tuesday,WILSON STATION,MUIS,0,0,,YU,0"
"2021-03-02,02:39,Tuesday,VAUGHAN MC STATION,SUDP,0,0,,YU,0"
"2021-03-02,06:00,Tuesday,FINCH STATION,MUPAA,0,0,S,YU,5576"
"2021-03-02,06:19,Tuesday,MAIN STREET STATION,MUDD,10,14,E,BD,5160"
"2021-03-02,06:23,Tuesday,GREENWOOD STATION,MUDD,6,10,E,BD,5359"
"2021-03-02,06:53,Tuesday,GREENWOOD STATION,MUSC,0,0,E,BD,5261"
"2021-03-02,07:39,Tuesday,EGLINTON WEST STATION,EUBK,3,6,N,YU,5431"
"2021-03-02,09:24,Tuesday,SHEPPARD STATION,SUDP,3,6,N,YU,5501"
"2021-03-02,09:40,Tuesday,BLOOR STATION,SUDP,3,6,S,YU,5566"
"2021-03-02,10:08,Tuesday,UNION STATION,SUO,0,0,N,YU,5826"
"2021-03-02,10:49,Tuesday,SHEPPARD STATION,MUSC,0,0,N,YU,5111"
"2021-03-02,10:57,Tuesday,COXWELL STATION,SUO,4,8,W,BD,5077"
"2021-03-02,11:13,Tuesday,YONGE BD STATION,SUDP,9,13,W,BD,5266"
"2021-03-02,12:50,Tuesday,BATHURST STATION,MUIS,0,0,,BD,0"
"2021-03-02,13:43,Tuesday,ST GEORGE YUS STATION,MUIS,0,0,S,YU,5391"
"2021-03-02,13:43,Tuesday,VAUGHAN MC STATION,TUNIP,3,6,,YU,6046"
"2021-03-02,13:46,Tuesday,KENNEDY TO MCCOWAN - L,PRS,5,10,N,SRT,3025"
"2021-03-02,13:54,Tuesday,KIPLING STATION,MUIRS,0,0,,BD,0"
"2021-03-02,15:18,Tuesday,UNION STATION,MUIS,0,0,,YU,0"
"2021-03-02,15:20,Tuesday,FINCH STATION,MUIS,0,0,,YU,0"
"2021-03-02,15:35,Tuesday,ST CLAIR STATION,MUPAA,3,6,N,YU,5646"
"2021-03-02,16:15,Tuesday,ST CLAIR WEST STATION,SUAP,0,0,,YU,0"
"2021-03-02,16:27,Tuesday,QUEEN'S PARK STATION,SUPD,4,7,N,YU,5721"
"2021-03-02,17:00,Tuesday,CHRISTIE STATION,SUDP,3,7,W,BD,5190"
"2021-03-02,17:52,Tuesday,QUEEN STATION,MUPLC,0,0,S,YU,5816"
"2021-03-02,18:08,Tuesday,FINCH WEST STATION,PUMEL,0,0,,YU,0"
"2021-03-02,18:28,Tuesday,WARDEN STATION,EULV,4,8,E,BD,5155"
"2021-03-02,18:43,Tuesday,FINCH STATION,PUSNT,6,9,N,YU,5476"
"2021-03-02,20:04,Tuesday,MAIN STREET STATION,SUDP,3,10,W,BD,5003"
"2021-03-02,20:06,Tuesday,SHEPPARD STATION,MUIS,13,16,S,YU,5386"
"2021-03-02,20:07,Tuesday,SPADINA BD STATION,SUDP,7,14,W,BD,5295"
"2021-03-02,21:04,Tuesday,ST ANDREW STATION,TUATC,5,10,S,YU,6111"
"2021-03-02,21:10,Tuesday,KIPLING STATION,TUMVS,0,0,W,BD,5106"
"2021-03-02,21:32,Tuesday,DUNDAS STATION,MUIS,0,0,,YU,0"
"2021-03-02,21:38,Tuesday,VAUGHAN MC STATION,MUSAN,3,8,S,YU,5961"
"2021-03-02,21:49,Tuesday,WELLESLEY STATION,MUIS,0,0,N,YU,0"
"2021-03-02,22:00,Tuesday,YONGE UNIVERSITY SUBWA,MUO,0,0,,YU/BD,0"
"2021-03-02,23:00,Tuesday,DUNDAS STATION,MUI,21,26,S,YU,5956"
"2021-03-02,23:00,Tuesday,FINCH TO EGLINTON STAT,MUO,0,0,B,YUS,0"
"2021-03-03,00:14,Wednesday,ROYAL YORK STATION,MUPAA,3,10,E,BD,5292"
"2021-03-03,00:47,Wednesday,ST CLAIR WEST STATION,MUPAA,0,0,N,YU,5461"
"2021-03-03,01:26,Wednesday,SHEPPARD WEST STATION,MUIRS,0,0,S,YU,0"
"2021-03-03,01:53,Wednesday,WILSON STATION,MUIS,0,0,,YU,0"
"2021-03-03,01:56,Wednesday,UNION STATION,MUPAA,0,0,S,YU,5936"
"2021-03-03,03:30,Wednesday,VAUGHAN MC STATION,MUIS,0,0,,YU,0"
"2021-03-03,04:56,Wednesday,WILSON STATION,PUSSW,0,0,S,YU,0"
"2021-03-03,06:10,Wednesday,WILSON STATION,PUSSW,5,8,S,YU,5486"
"2021-03-03,06:13,Wednesday,DAVISVILLE STATION,MUSC,0,0,N,YU,5976"
